collision_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,casualty_type
2020470986004,1,1,1,1,24,5,3,1
2023010482303,1,1,1,1,25,5,3,1
2024302401175,2,1,1,1,36,7,3,1
2020430082269,2,1,1,1,40,7,3,2
2020552000556,2,1,1,1,20,4,3,3
2022010382533,1,3,2,1,16,4,3,8
2021010348586,1,1,1,2,79,11,2,9
2021101059864,1,2,2,1,73,10,3,9
2021351149271,2,2,1,2,54,8,3,9
2021471074741,1,2,2,1,38,7,3,9
2022161162054,1,2,2,2,17,4,3,9
2022547437422,1,1,1,1,41,7,3,9
2023010455463,1,1,2,1,0,1,3,9
2024201511431,1,1,1,2,40,7,3,9
2024201530251,1,3,2,2,29,6,2,9
2024340WN2772,2,1,1,1,55,8,3,9
2024340WN5672,2,2,2,2,37,7,3,9
2024451426826,4,2,1,1,34,6,3,9
2021101048878,1,1,3,1,6,2,2,0
2023070037295,1,1,3,1,15,3,3,0
2023131278898,1,1,3,1,18,4,2,0
2020030980925,2,1,1,1,33,6,3,1
2020100923514,2,1,1,1,52,8,3,1
2021010341424,1,1,1,2,59,9,2,1
2023010480732,1,1,1,1,41,7,3,1
2024552401265,2,1,1,1,62,9,3,1
2022501231412,1,2,2,2,22,5,3,3
2023522300522,1,1,1,1,30,6,3,3
2023501329215,1,1,1,1,45,7,3,5
2020140974643,1,1,1,2,18,4,3,9
2020622001086,1,1,1,1,65,9,3,9
2020990984628,2,2,1,2,59,9,3,9
202134WNC6181,1,4,1,2,17,4,3,9
2021461081846,2,1,1,2,66,10,3,9
2021501071770,2,1,1,1,22,5,3,9
2022401233054,5,9,2,2,36,7,3,9
2022451143914,1,1,1,2,30,6,3,9
2023211263532,2,1,1,2,50,8,3,9
2023421353379,1,3,1,1,27,6,2,9
2023991396086,2,1,1,2,31,6,3,9
2024070540057,1,1,1,1,25,5,3,9
2024451418833,1,1,1,1,56,9,3,9
2020470941855,1,1,1,1,26,6,3,19
2023141348748,1,1,2,1,54,8,2,19
2023371324368,2,1,1,1,33,6,3,19
2024010494776,1,1,1,1,27,6,3,23
2020450916715,1,1,3,2,12,3,2,0
